m_ArraySize;workgroup;time
8192;1006;0.00824102
8192;1007;0.00817405
8192;1008;0.00860646
8192;1009;0.00692504
8192;1010;0.00693078
8192;1011;0.00827775
8192;1012;0.00692007
8192;1013;0.00687989
8192;1014;0.00686917
8192;1015;0.00686611
8192;1016;0.00688372
8192;1017;0.0069193
8192;1018;0.00817482
8192;1019;0.00691471
8192;1020;0.00826895
8192;1021;0.00838987
8192;1022;0.00689328
8192;1023;0.00707313
16384;1000;0.00693767
16384;1001;0.00691509
16384;1002;0.00801563
16384;1003;0.00821997
16384;1004;0.00771639
16384;1005;0.00812163
16384;1006;0.00704941
16384;1007;0.00819587
16384;1008;0.00822265
16384;1009;0.00821308
16384;1010;0.0081974
16384;1011;0.00827661
16384;1012;0.00743781
16384;1013;0.00830301
16384;1014;0.0094686
16384;1015;0.00727135
16384;1016;0.00699545
16384;1017;0.00689596
16384;1018;0.00692389
16384;1019;0.00692543
16384;1020;0.00693155
16384;1021;0.00688065
16384;1022;0.00827087
16384;1023;0.00689596
32768;1000;0.00745656
32768;1001;0.00685387
32768;1002;0.00732033
32768;1003;0.00836538
32768;1004;0.00839026
32768;1005;0.0082349
32768;1006;0.00693614
32768;1007;0.00727939
32768;1008;0.00786563
32768;1009;0.0087867
32768;1010;0.00762417
32768;1011;0.00692657
32768;1012;0.0079942
32768;1013;0.00838834
32768;1014;0.00750248
32768;1015;0.00713512
32768;1016;0.00748373
32768;1017;0.00707658
32768;1018;0.0070142
32768;1019;0.00694188
32768;1020;0.00815913
32768;1021;0.00848248
32768;1022;0.00899563
32768;1023;0.00815683
65536;1000;0.0115495
65536;1001;0.011887
65536;1002;0.0106001
65536;1003;0.0111894
65536;1004;0.011026
65536;1005;0.0113421
65536;1006;0.0106135
65536;1007;0.0106702
65536;1008;0.0113276
65536;1009;0.0121974
65536;1010;0.0106373
65536;1011;0.0118197
65536;1012;0.0116222
65536;1013;0.0106388
65536;1014;0.0106043
65536;1015;0.0115748
65536;1016;0.011509
65536;1017;0.0117485
65536;1018;0.0106036
65536;1019;0.0112143
65536;1020;0.011605
65536;1021;0.0116991
65536;1022;0.0117152
65536;1023;0.0113704
131072;1000;0.019034
131072;1001;0.0194576
131072;1002;0.0195399
131072;1003;0.0194978
131072;1004;0.0189954
131072;1005;0.0200814
131072;1006;0.0196532
131072;1007;0.0200075
131072;1008;0.0185733
131072;1009;0.0195104
131072;1010;0.0191817
131072;1011;0.0203913
131072;1012;0.0193134
131072;1013;0.0199371
131072;1014;0.0192686
131072;1015;0.019755
131072;1016;0.0189682
131072;1017;0.0195805
131072;1018;0.0196807
131072;1019;0.0196945
131072;1020;0.0193876
131072;1021;0.0203871
131072;1022;0.019137
131072;1023;0.0194331
262144;1000;0.0341966
262144;1001;0.0355467
262144;1002;0.0348686
262144;1003;0.0356205
262144;1004;0.034913
262144;1005;0.0351824
262144;1006;0.0352359
262144;1007;0.035684
262144;1008;0.033204
262144;1009;0.0356446
262144;1010;0.0349042
262144;1011;0.0352566
262144;1012;0.0343294
262144;1013;0.0349792
262144;1014;0.0350217
262144;1015;0.03504
262144;1016;0.0333234
262144;1017;0.0349134
262144;1018;0.0357001
262144;1019;0.0353894
262144;1020;0.0344557
262144;1021;0.035477
262144;1022;0.0346734
262144;1023;0.0354001
524288;1000;0.0647603
524288;1001;0.0669832
524288;1002;0.0662546
524288;1003;0.0676922
524288;1004;0.0653848
524288;1005;0.0675139
524288;1006;0.0658505
524288;1007;0.06556
524288;1008;0.0614897
524288;1009;0.0659232
524288;1010;0.0672307
524288;1011;0.0668332
524288;1012;0.0650844
524288;1013;0.0671837
524288;1014;0.0657479
524288;1015;0.067556
524288;1016;0.0641048
524288;1017;0.0664157
524288;1018;0.0664486
524288;1019;0.0661612
524288;1020;0.0663246
524288;1021;0.0665794
524288;1022;0.0650381
524288;1023;0.0665515
1048576;1000;0.122773
1048576;1001;0.130819
1048576;1002;0.12842
1048576;1003;0.129842
1048576;1004;0.126564
1048576;1005;0.129096
1048576;1006;0.127509
1048576;1007;0.128994
1048576;1008;0.117813
1048576;1009;0.126621
1048576;1010;0.127362
1048576;1011;0.128299
1048576;1012;0.126185
1048576;1013;0.128899
1048576;1014;0.128347
1048576;1015;0.128086
1048576;1016;0.123249
1048576;1017;0.128306
1048576;1018;0.125642
1048576;1019;0.125844
1048576;1020;0.125735
1048576;1021;0.128118
1048576;1022;0.127023
1048576;1023;0.128776
2097152;1000;0.243283
2097152;1001;0.253744
2097152;1002;0.247621
2097152;1003;0.252961
2097152;1004;0.24816
2097152;1005;0.252958
2097152;1006;0.251444
2097152;1007;0.249251
2097152;1008;0.231236
2097152;1009;0.252287
2097152;1010;0.251368
2097152;1011;0.253029
2097152;1012;0.246725
2097152;1013;0.255726
2097152;1014;0.250704
2097152;1015;0.252628
2097152;1016;0.245921
2097152;1017;0.252463
2097152;1018;0.247838
2097152;1019;0.251373
2097152;1020;0.247725
2097152;1021;0.251071
2097152;1022;0.249621
2097152;1023;0.247452
4194304;1000;0.481115
4194304;1001;0.504182
4194304;1002;0.496951
4194304;1003;0.504217
4194304;1004;0.493435
4194304;1005;0.503139
4194304;1006;0.500211
4194304;1007;0.49851
4194304;1008;0.456929
4194304;1009;0.502113
4194304;1010;0.494258
4194304;1011;0.502315
4194304;1012;0.490832
4194304;1013;0.498213
4194304;1014;0.496686
4194304;1015;0.496141
4194304;1016;0.47796
4194304;1017;0.49954
4194304;1018;0.491743
4194304;1019;0.498719
4194304;1020;0.488827
4194304;1021;0.495525
4194304;1022;0.499502
4194304;1023;0.49481
